"Link","State","Time"
"20003","CLOSED",0
"20003","1.00",38.5
"20003","CLOSED",44.2833
"20003","1.00",77.1667
"20003","CLOSED",78
"20004","1.00",0
"20004","CLOSED",6
"20004","1.00",13.5
"20004","CLOSED",30
"20004","1.00",38.5
"20004","CLOSED",54
"20004","1.00",70
"20004","CLOSED",72
"20004","1.00",73.75
"20004","CLOSED",78
"20005","CLOSED",0
"20005","1.00",6
"20005","CLOSED",13.5
"20005","1.00",30
"20005","CLOSED",38.5
"20005","1.00",54
"20005","CLOSED",70
"20005","1.00",78
"20011","CLOSED",0
"20011","0.87",6
"20011","CLOSED",10
"20011","0.87",30
"20011","CLOSED",35
"20011","0.87",42
"20011","CLOSED",44
"20011","0.87",53
"20011","CLOSED",59
"20011","0.87",69
"20011","CLOSED",70
"20011","0.87",76
"131301","OPEN",0
"131301","CLOSED",2.5
"131301","OPEN",23
"131301","CLOSED",27
"131301","OPEN",47
"131301","CLOSED",53
"131301","OPEN",65
"131301","CLOSED",69
"131301","OPEN",71
"131301","CLOSED",76
"20019","CLOSED",0
"20019","1.00",13
"20019","CLOSED",38.5
"20019","1.00",45
"20019","CLOSED",58
"20019","1.00",65
"20019","CLOSED",72
"20019","1.00",74.1667
"20020","CLOSED",0
"20020","1.00",6
"20020","CLOSED",21.75
"20020","1.00",25.25
"20020","CLOSED",25.4667
"20020","1.00",30
"20020","CLOSED",44
"20020","1.00",45
"20020","CLOSED",46.5
"20020","1.00",54
"20020","CLOSED",70
"20020","1.00",73.75
"20020","CLOSED",75
"20020","1.00",78
"20021","1.00",0
"20021","CLOSED",21.75
"20021","1.00",31.7
"20021","CLOSED",31.9
"20021","1.00",36
"20021","CLOSED",45
"20021","1.00",54
"20021","CLOSED",68.8
"20022","CLOSED",0
"20022","1.00",5
"20022","CLOSED",6
"20022","1.00",12
"20022","CLOSED",17
"20022","1.00",29
"20022","CLOSED",30
"20022","1.00",36
"20022","CLOSED",38
"20022","1.00",41
"20022","CLOSED",43
"20022","1.00",46
"20022","CLOSED",48
"20022","1.00",53
"20022","CLOSED",54
"20022","1.00",61
"20022","CLOSED",65
"20022","1.00",69
"20022","CLOSED",71
"20022","1.00",74
"20022","CLOSED",78
"20023","CLOSED",0
"20023","0.98",6
"20023","CLOSED",12
"20023","0.98",17
"20023","CLOSED",22
"20023","0.98",30
"20023","CLOSED",36
"20023","0.98",38
"20023","CLOSED",41
"20023","0.98",43
"20023","CLOSED",46
"20023","0.98",54
"20023","CLOSED",61
"20023","0.98",65
"20023","CLOSED",69
"20023","0.98",78
"111121","CLOSED",0
"111121","OPEN",72
"111121","CLOSED",74
"111113","CLOSED",0
"111113","OPEN",4
"111113","CLOSED",14
"111113","OPEN",27
"111113","CLOSED",47.5
"111113","OPEN",51
"111102","OPEN",0
"111102","CLOSED",32.5
"111102","OPEN",38
"111102","CLOSED",41
"111102","OPEN",44
