"id","x","y","z","demand","pattern"
"44230",19263.59,21499.6,42.651,-450,"27-W20"
"44322",12579.6,39138.64,83.32,-700,"26-W31"
"44468",32380.35,12576.85,29.856,-700,"28-W15"
"44567",22953.19,22178.03,85.302,-4900,"55-PKWF"
"44656",21900.58,640.75,17.011,-700,"24-W32"
"44658",11534.92,9661.61,34.931,-1000,"21-W33"
"44660",12171.48,9693.56,33.399,-1000,"22-W34"
"44662",12715.97,9598.71,30.256,-700,"23-W35"
"44664",21820.54,827.95,16.49,-700,"25-W38"
"44666",32356.41,12533.21,33.025,-1400,"29-W43"
"44724",44984.1,8700.05,9.843,-1900,"30-W40"
"55001",22488.83,7595.16,6.56,-700,"31-W21"
"55002",22418.63,7820.93,9,-2100,"32-W30"
"55003",22393.97,7686.03,6.56,-700,"33-W37"
